tag,product_count,tag_en,tag_ko,description_vi
Mì Gà,10,Chicken Noodles,닭고기 면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Gà”."
Không Hạt,10,Seedless,씨 없는,Sản phẩm không có hạt hoặc đã được loại bỏ hạt.
Đất Nặn,10,Modeling Clay,점토,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Đất Nặn”.
Mít Sấy,10,Dried Jackfruit,건잭프루트,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Mít Sấy”.
Vali,10,Suitcase,여행가방,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Vali”.
Dưa Lưới,10,Melon,멜론,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Dưa Lưới”.
Đùi Vịt,10,Duck Leg,오리 다리,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Đùi Vịt”."
Hấp Chín,10,Steamed,찜 조리,Thực phẩm đã được làm chín bằng phương pháp hấp.
Bấm Ghim,10,Stapler,스테이플러,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bấm Ghim”.
Muối I-ốt,10,Iodized Salt,요오드 소금,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Muối I-ốt”.
Vá Inox,9,Stainless Steel Ladle,스테인리스 국자,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Vá Inox”.
Bún Tươi,9,Fresh Rice Vermicelli,생 쌀국수면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Bún Tươi”."
Kẹp Giấy,9,Paper Clip,클립,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Kẹp Giấy”.
Trà Atiso,9,Artichoke Tea,아티초크차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Atiso”."
Chile,9,Chile,칠레,Sản phẩm có xuất xứ từ Chile.
Chén Chấm,9,Dipping Bowl,소스 종지,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Chén Chấm”.
Nấu Canh,9,Soup Cooking,국 요리,Nguyên liệu hoặc sản phẩm phù hợp để nấu canh.
Tích Điện,9,Rechargeable,충전식,Sản phẩm có pin hoặc khả năng tích trữ điện để sử dụng.
Ớt Chuông,9,Bell Pepper,파프리카,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Ớt Chuông”."
Hành Tím,9,Shallot,샬롯,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Hành Tím”."
Sủi Cảo,9,Dumplings,물만두,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Sủi Cảo”."
Tôm Sú,9,Black Tiger Shrimp,블랙타이거 새우,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Sú”.
Hạt Dẻ,9,Chestnut,밤,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Dẻ”."
Việt Quất,9,Blueberry,블루베리,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Việt Quất”.
Hyaluronic Acid,9,Hyaluronic Acid,히알루론산,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Hyaluronic Acid”.
Đường Phèn,9,Rock Sugar,빙당,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Đường Phèn”.
Nước Chấm,9,Dipping Sauce,디핑 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Nước Chấm”."
Canada,9,Canada,캐나다,Sản phẩm có xuất xứ từ Canada.
Xịt Vải,9,Fabric Spray,패브릭 스프레이,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Xịt Vải”."
Ngọc Trai,9,Pearl,진주,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Ngọc Trai”.
Demon Slayer,9,Demon Slayer,귀멸의 칼날,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Demon Slayer”.
Pizza Tươi,9,Fresh Pizza,신선 피자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Pizza Tươi”.
Cabernet Sauvignon,9,Cabernet Sauvignon,카베르네 소비뇽,Đồ uống có cồn thuộc loại “Cabernet Sauvignon”.
Giấm Táo,9,Apple Cider Vinegar,사과식초,Giấm làm từ táo dùng trong chế biến thực phẩm hoặc pha chế.
Ly Giấy,9,Paper Cup,종이컵,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ly Giấy”.
Chuối Sấy,9,Dried Banana,건바나나,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Chuối Sấy”.
Mứt Dâu,9,Strawberry Jam,딸기잼,Mứt làm từ dâu hoặc sản phẩm phết có hương vị dâu.
Sườn Non,9,Pork Ribs,돼지갈비,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Sườn Non”."
Phủ Socola,9,Chocolate-Coated,초콜릿 코팅,Sản phẩm có lớp phủ socola.
Tôm Khô,9,Dried Shrimp,건새우,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Khô”.
Nước Hoa Nữ,8,Women's Perfume,여성 향수,Sản phẩm dành cho nữ giới.
Bia Trắng,8,Wheat Beer,밀맥주,Đồ uống có cồn thuộc loại “Bia Trắng”.
Trà Lài,8,Jasmine Tea,자스민차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Lài”."
Bánh Pía,8,Pia Cake,피아 케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Pía”.
Kiwi Vàng,8,Gold Kiwi,골드키위,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Kiwi Vàng”.
Lương Khô,8,Compressed Biscuits,건빵,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Lương Khô”.
Nem Nướng,8,Grilled Pork Sausage,구운 돼지고기 소시지,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Nem Nướng”."
Bánh Hotteok,8,Hotteok,호떡,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Hotteok”.
Lager,8,Lager,라거,Đồ uống có cồn thuộc loại “Lager”.
Bò Wagyu,8,Wagyu Beef,와규 소고기,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Bò Wagyu”."
Rau Muống,8,Water Spinach,공심채,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Rau Muống”."
Ống Hút,8,Straw,빨대,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ống Hút”.
Ăn Kiêng,8,Diet Food,다이어트 식품,Sản phẩm phù hợp nhu cầu ăn kiêng hoặc kiểm soát khẩu phần.
Nhân Socola,8,Chocolate Filling,초콜릿 필링,"Bánh, kẹo hoặc thực phẩm có nhân socola."
Phủ Ceramic,8,Ceramic-Coated,세라믹 코팅,Sản phẩm có lớp phủ ceramic.
Cappuccino Dừa,8,Coconut Cappuccino,코코넛 카푸치노,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Cappuccino Dừa”."
Nui Xoắn,8,Spiral Pasta,푸실리,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Nui Xoắn”."
Bột Canh,8,Seasoning Powder,조미 소금,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Bột Canh”.
Khổ Qua,8,Bitter Melon,여주,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Khổ Qua”."
Đĩa Giấy,8,Paper Plate,종이 접시,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Đĩa Giấy”.
Trà Đen,8,Black Tea,홍차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Đen”."
Thạch Dừa,8,Coconut Jelly,코코넛 젤리,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Thạch Dừa”.
Mickey,8,Mickey Mouse,미키마우스,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Mickey”.
Muối Hồng,8,Pink Salt,핑크솔트,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Muối Hồng”.
Ga Giường Jacquard,8,Jacquard Bedsheet,자카드 침대시트,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Ga Giường Jacquard”."
Soda Kem,8,Cream Soda,크림소다,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Soda Kem”."
Bánh Gấu,8,Bear-Shaped Biscuits,곰 모양 과자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Gấu”.
Thước Dẻo,8,Flexible Ruler,말랑 자,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Thước Dẻo”.
Tô Canh,8,Soup Bowl,국그릇,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Tô Canh”.
Vang Sủi,8,Sparkling Wine,스파클링 와인,Đồ uống có cồn thuộc loại “Vang Sủi”.
Kẹo Xylitol,8,Xylitol Candy,자일리톨 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Xylitol”.
Nấu Cà Ri,7,Curry Cooking,카레 요리,Nguyên liệu hoặc sản phẩm phù hợp để nấu cà ri.
Cam Tươi,7,Fresh Orange,신선 오렌지,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Cam Tươi”.
Viên Nhàu,7,Noni Capsules,노니 캡슐,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Viên Nhàu."
Giò Thủ,7,Vietnamese Head Cheese,베트남식 헤드치즈,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Giò Thủ”."
Mì Ramen,7,Ramen Noodles,라멘,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Ramen”."
Dừa Xiêm,7,Young Coconut,어린 코코넛,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Dừa Xiêm”.
Gà Nugget,7,Chicken Nuggets,치킨 너겟,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Gà Nugget”."
Minions,7,Minions,미니언즈,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Minions”.
Mọc Tóc,7,Hair Growth,모발 성장,Sản phẩm chăm sóc tóc hướng đến hỗ trợ tóc chắc khỏe hoặc mọc tóc.
Bánh Sandwich,7,Sandwich Bread,식빵,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Sandwich”.
Lúa Mạch,7,Barley,보리,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Lúa Mạch”."
Món Chấm,7,Dipping Foods,찍어 먹는 음식,Món ăn hoặc sản phẩm thuộc nhóm “Món Chấm”.
Đệm Ngồi,7,Seat Cushion,방석,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Đệm Ngồi”."
Cà Rốt,7,Carrot,당근,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Cà Rốt”."
Rắc Topping,7,Topping Sprinkle,토핑용,"Sản phẩm dùng để rắc hoặc thêm làm topping cho món ăn, đồ uống."
Trộn Cơm,7,Rice Mixing,비빔밥용,Gia vị hoặc sản phẩm dùng để trộn cùng cơm.
Nồi Lẩu,7,Hot Pot,전골냄비,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Nồi Lẩu”.
Kẹo Chua,7,Sour Candy,신맛 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Chua”.
Thịt Vịt,7,Duck Meat,오리고기,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Vịt”."
Bánh Phở,7,Pho Noodles,쌀국수면,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Phở”.
Gỗ Tràm,7,Melaleuca Wood,멜라루카 목재,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Gỗ Tràm."
Tỏi Củ,7,Garlic Bulb,통마늘,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Tỏi Củ”."
Thau Inox,7,Stainless Steel Basin,스테인리스 대야,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Thau Inox”.
Sấy Lạnh,7,Freeze-Dried / Cold-Dried,저온 건조,Thực phẩm được xử lý bằng phương pháp sấy lạnh.
Mắm Nêm,7,Fermented Anchovy Sauce,발효 멸치 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Mắm Nêm”."
Nệm Ngồi,7,Seat Pad,좌식 방석,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Nệm Ngồi”."
Nước Kombucha,7,Kombucha,콤부차,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Kombucha”.
Cá Cơm,7,Anchovy,멸치,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cá Cơm”.
Hoa Cúc,7,Chrysanthemum,국화,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Hoa Cúc."
Cây Cảnh,7,Ornamental Plants,관상식물,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Cây Cảnh”."
Khối Rubik,7,Rubik's Cube,루빅스 큐브,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Khối Rubik”.
Kéo Inox,7,Stainless Steel Scissors,스테인리스 가위,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Kéo Inox”.
Tôm Thẻ,7,Whiteleg Shrimp,흰다리새우,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Thẻ”.
Đường Mía,7,Cane Sugar,사탕수수 설탕,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Đường Mía”.
Túi Cói,6,Sedge Bag,라탄풍 가방,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Túi Cói”.
Hoành Thánh,6,Wonton,완탕,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Hoành Thánh”."
Sọt Nhựa,6,Plastic Basket,플라스틱 바구니,"Sọt làm từ nhựa dùng để chứa, đựng hoặc sắp xếp đồ."
Dầu Tẩy Trang,6,Cleansing Oil,클렌징 오일,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Dầu Tẩy Trang”.
Kẹo Thạch,6,Jelly Candy,젤리 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Thạch”.
Chịu Nhiệt,6,Heat Resistant,내열,Sản phẩm có khả năng chịu nhiệt hoặc phù hợp sử dụng ở nhiệt độ cao.
Khuôn Nhựa,6,Plastic Mold,플라스틱 몰드,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Khuôn Nhựa”.
Trà Sen,6,Lotus Tea,연꽃차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Sen”."
Kem Socola,6,Chocolate Ice Cream,초콜릿 아이스크림,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kem Socola”."
Kem Vani,6,Vanilla Ice Cream,바닐라 아이스크림,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kem Vani”."
Sốt Me,6,Tamarind Sauce,타마린드 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Me”."
Nho,6,Grapes,포도,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Nho”.
Sữa Cho Bé,6,Milk for Kids,어린이 우유,Sản phẩm dành cho trẻ em.
Ớt Tươi,6,Fresh Chili,생고추,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Ớt Tươi”."
Súng Nước,6,Water Gun,물총,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Súng Nước”.
Kẹo Xoài,6,Mango Candy,망고 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Xoài”.
Nước Kiềm,6,Alkaline Water,알칼리수,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Kiềm”.
Táo Đỏ,6,Red Dates / Jujube,대추,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Táo Đỏ”.
Tranexamic Acid,6,Tranexamic Acid,트라넥삼산,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Tranexamic Acid”.
Đậu Lon,6,Canned Beans,콩 통조림,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Lon”."
Kẹo Sâm,6,Ginseng Candy,인삼 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Sâm”.
Phở Trộn,6,Mixed Pho,비빔 쌀국수,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Phở Trộn”."
Trà Sữa Matcha,6,Matcha Milk Tea,말차 밀크티,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Sữa Matcha”."
Áo Mưa,6,Raincoat,우비,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Áo Mưa”.
Đậu Đỏ,6,Red Bean,팥,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Đỏ”."
Chả Cá,6,Fish Cake,어묵,Chả cá và các sản phẩm chế biến từ thịt cá xay.
Gạo Nếp,6,Glutinous Rice,찹쌀,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Gạo Nếp”."
Bít Tết,6,Steak,스테이크,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Bít Tết”."
Mắm Ruốc,6,Fermented Shrimp Paste,새우 발효젓,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Mắm Ruốc”."
Cán Nhựa,6,Plastic Handle,플라스틱 손잡이,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cán Nhựa”.
Đĩa Tương,6,Sauce Dish,소스 접시,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Đĩa Tương”.
Xíu Mại,6,Shumai,슈마이,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Xíu Mại”."
Hành Tây,6,Onion,양파,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Hành Tây”."
Thanh Cua,6,Crab Stick,게맛살,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Thanh Cua”.
Sốt Teriyaki,6,Teriyaki Sauce,데리야키 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Teriyaki”."
Mồng Tơi,6,Malabar Spinach,말라바 시금치,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Mồng Tơi”."
Bút Acrylic,6,Acrylic Marker,아크릴 마커,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Acrylic”.
Măng Khô,6,Dried Bamboo Shoots,말린 죽순,Rau củ hoặc nguyên liệu thực phẩm thuộc nhóm “Măng Khô”.
Nui Gạo,6,Rice Pasta,쌀 파스타,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Nui Gạo”."
Bánh Cuộn,6,Roll Cake,롤케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Cuộn”.
Cải Thìa,6,Bok Choy,청경채,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Cải Thìa”."
Không Cay,6,Non-Spicy,안 매운맛,Sản phẩm có vị không cay.
Nón Cói,5,Straw Hat,밀짚모자,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Nón Cói”.
Xương Đùi,5,Leg Bone,다리뼈,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Xương Đùi”."
Bánh Socola,5,Chocolate Cake / Biscuit,초콜릿 과자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Socola”.
Hạt Robusta,5,Robusta Coffee Beans,로부스타 원두,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Robusta”."
Bia Silver,5,Silver Beer,실버 맥주,Đồ uống có cồn thuộc loại “Bia Silver”.
Ớt Xay,5,Ground Chili,고춧가루·간 고추,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Ớt Xay”.
Hot Dog,5,Hot Dog,핫도그,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Hot Dog”.
Bánh Mềm,5,Soft Cake,소프트 케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Mềm”.
Màng Nhôm,5,Aluminum Foil,알루미늄 포일,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Màng Nhôm."
Sầu Riêng,5,Durian,두리안,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Sầu Riêng”.
Lươn Nướng,5,Grilled Eel,장어구이,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Lươn Nướng”.
Miến Trộn,5,Mixed Glass Noodles,비빔 당면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Miến Trộn”."
Túi Mù,5,Blind Bag,블라인드 백,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Túi Mù”.
Giấy Hộp,5,Box Tissue,각티슈,Sản phẩm giấy được đóng hoặc sử dụng theo dạng hộp.
Hộp Bút,5,Pencil Case,필통,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Hộp Bút”.
Ổi Tươi,5,Fresh Guava,신선 구아바,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Ổi Tươi”.
Mũ Bảo Hiểm Trẻ Em,5,Kids' Helmet,어린이 헬멧,Sản phẩm dành cho trẻ em.
Bánh Crepe,5,Crepe,크레페,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Crepe”.
Burger Patty,5,Burger Patty,버거 패티,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Burger Patty”.
Nigiri,5,Nigiri Sushi,니기리 스시,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Nigiri”."
Bánh Swissroll,5,Swiss Roll,스위스 롤,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Swissroll”.
Khuynh Diệp,5,Eucalyptus,유칼립투스,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Khuynh Diệp."
Sốt Tiêu,5,Pepper Sauce,후추 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Tiêu”."
Sốt Wasabi,5,Wasabi Sauce,와사비 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Wasabi”."
Nấu Cá,5,Fish Cooking,생선 요리,Nguyên liệu hoặc sản phẩm phù hợp để nấu cá.
Nạc Heo,5,Lean Pork,돼지고기 살코기,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Nạc Heo”."
Nạm Bò,5,Beef Brisket Plate,소고기 양지,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Nạm Bò”."
Trứng Muối,5,Salted Egg,소금에 절인 계란,Trứng được chế biến bằng phương pháp muối.
Sốt Ớt,5,Chili Sauce,칠리소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Ớt”."
Hạt Phỉ,5,Hazelnut,헤이즐넛,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Phỉ”."
Giò Sống,5,Raw Pork Paste,생 돼지고기 페이스트,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Giò Sống”."
Xịt Khoáng,5,Facial Mist,페이스 미스트,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Xịt Khoáng”.
Bánh Giò,5,Vietnamese Rice Dumpling,베트남식 쌀떡,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Giò”.
Socola Trắng,5,White Chocolate,화이트 초콜릿,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola Trắng”.
Dép Massage,5,Massage Slippers,마사지 슬리퍼,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Dép Massage”.
Đậu Đen,5,Black Bean,검은콩,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Đen”."
Gà Nướng,5,Grilled Chicken,구운 닭고기,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Gà Nướng”."
Túi Đeo,5,Shoulder Bag,숄더백,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Túi Đeo”.
Dép Nhựa,5,Plastic Slippers,플라스틱 슬리퍼,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Dép Nhựa”.
Nấu Cơm,5,Rice Cooking,밥 짓기,Nguyên liệu hoặc sản phẩm phù hợp để nấu cơm.
Súp Nui,5,Pasta Soup,파스타 수프,Món súp có nui hoặc sản phẩm chế biến theo kiểu súp nui.
Phin Inox,5,Stainless Steel Coffee Filter,스테인리스 커피 필터,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Phin Inox”.
Chanh Muối,5,Salted Lemon,소금 레몬,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Chanh Muối”.
Nước Ép Nho,5,Grape Juice,포도 주스,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Ép Nho”.
Đào Brandy,5,Brandy Peach,브랜디 복숭아,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Đào Brandy”.
Sữa Bắp,5,Corn Milk,옥수수 음료,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Bắp”.
Cica,5,Cica,시카,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Cica”.
Pale Pilsen,5,Pale Pilsen,페일 필젠,Đồ uống có cồn thuộc loại “Pale Pilsen”.
Đạm A2,5,A2 Protein,A2 단백질,Sản phẩm sữa có protein beta-casein A2 hoặc được công bố chứa đạm A2.
Bột Năng,5,Tapioca Starch,타피오카 전분,"Bột năng dùng làm bánh, tạo độ sánh hoặc chế biến thực phẩm."
Rau Dền,5,Amaranth Greens,비름나물,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Rau Dền”."
Ớt Bột,5,Chili Powder,고춧가루,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Ớt Bột”.
Ướp Tỏi,5,Garlic Marinade,마늘 양념,Thực phẩm được tẩm hoặc ướp với tỏi.
Táo Envy,5,Envy Apple,엔비 사과,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Táo Envy”.
Vali Kéo,5,Rolling Suitcase,캐리어,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Vali Kéo”.
Muỗng Súp,4,Soup Spoon,수프 스푼,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Muỗng Súp”.
Inox 201,4,201 Stainless Steel,201 스테인리스,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Inox 201."
Vợt Muỗi,4,Electric Mosquito Swatter,전기 모기채,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Vợt Muỗi”."
Than Bạc,4,Silver Charcoal,은 숯,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Than Bạc."
Sụn Heo,4,Pork Cartilage,돼지 연골,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Sụn Heo”."
Kem Dâu,4,Strawberry Ice Cream,딸기 아이스크림,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kem Dâu”."
Mì Kimchi,4,Kimchi Noodles,김치면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Kimchi”."
